1.115.897;de-DE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date Time UTC;Date Local Time;Batch Time, sec;Batch Time (since inoc.), sec;Phase;Phase Time, sec;Foam, -;AirFlow, l/min;TotalFlow, l/min;Gas2Flow, l/min;GasMix;Pump1, %;Pump1.Duration, -;Pump2, %;Pump2.Duration, -;Pump3, %;Pump3.Duration, -;Pump4, %;Pump4.Duration, -;Stirrer, 1/min;Temperature, °C;Balance, g;AnalogIO1, %;AnalogIO2, %;pH, -;pO2, %;GenericGasAnalyser.ExitCO2, %;GenericGasAnalyser.ExitO2, %;OD600;ExponentialFeeding.Feedrate, %;FeedingInduction.Feedrate2, %
14.02.2022 14:28;14.02.2022 15:28;45;0,0125;Preparation;45;0;1,988702941;2,006394118;0,01975;21;0;0;0;1447;0;0;0;0;1302,508824;24,457;-3133,7268;-26,2;-26,1843125;-1;-1;0,033333333;28,41153846;;2,411083668;9,815210563
14.02.2022 14:29;14.02.2022 15:29;135;0,0375;Preparation;135;0;2,000291429;2,000514286;-5,14E-05;21;0;0;0;1447;0;0;0;0;859,6942857;24,466;-3133,7;-26,2;-26,18785294;-1;-1;0,035;24,9925;;2,415629312;9,839162637
14.02.2022 14:31;14.02.2022 15:31;225;0,0625;Preparation;225;0;1,999685714;2,001105714;5,43E-05;21;0;0;0;1447;0;0;0;0;505,4545455;24,41;-3133,791833;-26,2;-26,19303333;-1;-1;0,033333333;21,81047619;;2,420063907;9,862540877
14.02.2022 14:32;14.02.2022 15:32;315;0,0875;Preparation;315;0;2,000642857;1,999897059;-3,14E-05;21;0;0;0;1447;0;0;0;0;500,4909091;24,34833333;-3133,761931;-26,2;-26,19277419;-1;-1;0,035;21,113125;;2,424502612;9,885952117
14.02.2022 14:34;14.02.2022 15:34;405;0,1125;Preparation;405;0;2,000557143;1,998771429;0,000229032;21;0;0;0;1447;0;0;0;0;500,0225806;24,285;-3133,764438;-26,2;-26,19265625;-1;-1;0,04;20,97;;2,429077176;9,910091608
14.02.2022 14:35;14.02.2022 15:35;495;0,1375;Preparation;495;0;2,000654286;2,000067647;0,000185714;21;0;0;0;1447;0;0;0;0;499,9666667;24,23636364;-3133,779414;-26,2;-26,19293333;-1;-1;0,04;20,95;;2,433657885;9,934275438
14.02.2022 14:37;14.02.2022 15:37;585;0,1625;Preparation;585;0;2,000202941;2,000791176;-0,000158824;21;0;0;0;1447;0;0;0;0;499,9114286;24,17111111;-3133,689931;-26,2;-26,1924375;-1;-1;0,04;20,94;;2,438250916;9,958536286
14.02.2022 14:38;14.02.2022 15:38;675;0,1875;Preparation;675;0;1,999985714;1,998827273;-0,000381818;21;0;0;0;1447;0;0;0;0;499,9181818;24,105;-3133,735862;-26,2;-26,1925;-1;-1;0,04;20,94;;2,442729879;9,982206078
14.02.2022 14:40;14.02.2022 15:40;765;0,2125;Preparation;765;0;1,999625714;1,999837143;-0,0005;21;0;0;0;1447;0;0;0;0;499,9612903;24,045;-3133,762185;-26,2;-26,19157576;-1;-1;0,04;20,925;;2,447219536;10,00594388
14.02.2022 14:41;14.02.2022 15:41;855;0,2375;Preparation;855;0;2,001602857;2,0004;3,43E-05;21;0;0;0;1447;0;0;0;0;500,0441176;23,99;-3133,76825;-26,2;-26,19186667;-1;-1;0,04;20,915;;2,451843179;10,03040194
14.02.2022 14:43;14.02.2022 15:43;945;0,2625;Preparation;945;0;1,998791429;2,000237143;0,00030303;21;0;0;0;1447;0;0;0;0;499,9363636;23,94;-3133,77081;-26,2;-26,1918;-1;-1;0,04;20,93;;2,456465055;10,05486272
14.02.2022 14:44;14.02.2022 15:44;1035;0,2875;Preparation;1035;0;2,00104;1,999932353;-8,24E-05;21;0;0;0;1447;0;0;0;0;500,0142857;23,8775;-3133,749826;-26,2;-26,19146875;-1;-1;0,04;20,935;;2,461095889;10,07938298
14.02.2022 14:46;14.02.2022 15:46;1125;0,3125;Preparation;1125;0;2,001526471;2;0,000294118;21;0;0;0;1447;0;0;0;0;499,9088235;23,815;-3133,745393;-26,2;-26,19194118;-1;-1;0,04;20,935;;2,465606928;10,10328046
14.02.2022 14:47;14.02.2022 15:47;1215;0,3375;Preparation;1215;0;2,000994286;2,001457143;0,000663636;21;0;0;0;1447;0;0;0;0;499,9588235;23,755;-3133,748438;-26,2;-26,19253125;-1;-1;0,035;20,93666667;;2,470129588;10,1272511
14.02.2022 14:49;14.02.2022 15:49;1305;0,3625;Preparation;1305;0;1,999988571;2,00205;0,000294118;21;0;0;0;1447;0;0;0;0;499,9111111;23,7;-3133,729684;-26,2;-26,192625;-1;-1;0,04;20,945;;2,474784894;10,15193671
14.02.2022 14:50;14.02.2022 15:50;1395;0,3875;Preparation;1395;0;2,000902857;1,999058824;-0,000234286;21;0;0;0;1447;0;0;0;0;500,0363636;23,65;-3133,7102;-26,2;-26,19175758;-1;-1;0,04;20,94333333;;2,479450939;10,17669144
14.02.2022 14:52;14.02.2022 15:52;1485;0,4125;Preparation;1485;0;1,99865;2,000868571;-0,000151429;21;0;0;0;1447;0;0;0;0;500,0176471;23,59222222;-3133,7235;-26,2;-26,19217143;-1;-1;0,035;20,945;;2,484126766;10,20151028
14.02.2022 14:53;14.02.2022 15:53;1575;0,4375;Preparation;1575;0;1,999754286;2,00014;7,14E-05;21;0;0;0;1447;0;0;0;0;500,0142857;23,53111111;-3133,738833;-26,2;-26,1916875;-1;-1;0,04;20,94;;2,488812091;10,22639179
14.02.2022 14:55;14.02.2022 15:55;1665;0,4625;Preparation;1665;0;1,845242857;1,848702857;-5,43E-05;21;0;0;0;1447;0;0;0;0;499,840625;23,485;-3133,531615;-26,2;-26,19196875;-1;-1;0,04;20,94666667;;2,493379911;10,25066102
14.02.2022 14:56;14.02.2022 15:56;1755;0,4875;Preparation;1755;0;0,450088571;0,446785714;-0,004026471;21;0;0;0;1447;0;0;0;0;499,909375;23,455;-3133,0143;-26,2;-26,19268571;-1;-1;0,04;20,95;;2,497956316;10,27498762
14.02.2022 14:58;14.02.2022 15:58;1845;0,5125;Preparation;1845;0;2,000668571;1,994228571;-0,004185294;21;0;0;0;1447;0;0;0;0;500,0470588;23,42;-3133,312833;-26,2;-26,1926875;-1;-1;0,033333333;20,915;;2,502675792;10,30008688
14.02.2022 14:59;14.02.2022 15:59;1935;0,5375;Preparation;1935;0;2,000234286;1,996897143;-0,004102857;21;0;0;0;1447;0;0;0;0;499,90625;23,37923077;-3133,728333;-26,2;-26,19196875;-1;-1;0,036666667;20,85;;2,507409365;10,32527353
14.02.2022 15:01;14.02.2022 16:01;2025;0,5625;Preparation;2025;0;1,998488889;1,995086111;-0,004147222;21;0;0;0;1447;0;0;0;0;500,1090909;23,32714286;-3133,7;-26,2;-26,19171429;-1;-1;0,04;20,805;;2,51215139;10,35051761
14.02.2022 15:02;14.02.2022 16:02;2115;0,5875;Preparation;2115;0;1,999917143;1,9958;-0,004151429;21;0;0;0;1447;0;0;0;0;499,9558824;23,273;-3133,7442;-26,2;-26,19224242;-1;-1;0,035;20,79;;2,516769488;10,37511388
14.02.2022 15:04;14.02.2022 16:04;2205;0,6125;Preparation;2205;0;1,999337143;1,996831429;-0,003732353;21;0;0;0;1447;0;0;0;0;500,0588235;23,23;-3133,798833;-26,2;-26,19141935;-1;-1;0,04;20,785;;2,521394791;10,39976045
14.02.2022 15:05;14.02.2022 16:05;2295;0,6375;Preparation;2295;0;1,747862857;1,744697143;-0,004065714;21;0;0;0;1447;0;0;0;0;499,946875;23,18833333;-3131,209583;-26,2;-26,19284848;-1;-1;0,04;20,78;;2,526166616;10,4252001
14.02.2022 15:07;14.02.2022 16:07;2385;0,6625;Preparation;2385;0;1,995797143;1,991157143;-0,004276471;21;0;0;0;1447;0;0;0;0;500,0529412;23,16142857;-3133,832522;-26,2;-26,19185294;-1;-1;0,04;20,786;;2,530948874;10,45070797
14.02.2022 15:08;14.02.2022 16:08;2475;0,6875;Preparation;2475;0;1,999682857;1,996602857;-0,003948571;21;0;0;0;1447;0;0;0;0;499,9314286;23,1175;-3133,884143;-26,2;-26,19248571;-1;-1;0,04;20,785;;2,535598487;10,47552034
14.02.2022 15:10;14.02.2022 16:10;2565;0,7125;Preparation;2565;0;1,998594118;1,995105714;-0,004534286;21;0;0;0;1447;0;0;0;0;499,9545455;23,07;-3133,790667;-26,2;-26,19275758;-1;-1;0,04;20,78;;2,54025358;10,50037397
14.02.2022 15:11;14.02.2022 16:11;2655;0,7375;Preparation;2655;0;2,001805556;1,997325714;-0,003480556;21;0;0;0;1447;0;0;0;0;499,8657143;23,035;-3133,727125;-26,2;-26,19328125;-1;-1;0,04;20,78333333;;2,545052875;10,52600989
14.02.2022 15:13;14.02.2022 16:13;2745;0,7625;Preparation;2745;0;1,999226471;1,996634286;-0,003471429;21;0;0;0;1447;0;0;0;0;500,0580645;22,99;-3133,719857;-26,2;-26,19258065;-1;-1;0,04;20,78;;2,549867854;10,55174227
14.02.2022 15:14;14.02.2022 16:14;2835;0,7875;Preparation;2835;0;1,999868571;1,996;-0,004248571;21;0;0;0;1447;0;0;0;0;499,8757576;22,95777778;-2603,602673;-26,2;-26,192375;-1;-1;0,04;20,77666667;;2,554691341;10,57753284
14.02.2022 15:16;14.02.2022 16:16;2925;0,8125;Preparation;2925;0;1,99986;1,994634286;-0,003605714;21;0;0;0;1447;0;0;0;0;500,0235294;22,92;-3133,83025;-26,2;-26,192125;-1;-1;0,04;20,78;;2,559391897;10,60267828
14.02.2022 15:17;14.02.2022 16:17;3015;0,8375;Preparation;3015;0;1,998574286;1,993945714;-0,004202857;21;0;0;0;1447;0;0;0;0;499,8852941;22,885;-3133,802;-26,2;-26,1919697;-1;-1;0,04;20,775;;2,564104154;10,62789854
14.02.2022 15:19;14.02.2022 16:19;3105;0,8625;Preparation;3105;0;1,999737143;1,997054286;-0,003616129;21;0;0;0;1447;0;0;0;0;500,0485714;22,85;-3133,793;-26,2;-26,19293548;-1;-1;0,04;20,77;;2,568958922;10,65389412
14.02.2022 15:20;14.02.2022 16:20;3195;0,8875;Preparation;3195;0;2,000605714;1,99706;-0,003762857;21;0;0;0;1447;0;0;0;0;499,8382353;22,81166667;-3133,8;-26,2;-26,19254839;-1;-1;0,04;20,77;;2,57382675;10,6799725
14.02.2022 15:22;14.02.2022 16:22;3285;0,9125;Preparation;3285;0;1,999055556;1,995969444;-0,003408571;21;0;0;0;1447;0;0;0;0;499,93125;22,77;-3133,798333;-26,2;-26,19251515;-1;-1;0,04;20,77;;2,578695326;10,70606776
14.02.2022 15:23;14.02.2022 16:23;3375;0,9375;Preparation;3375;0;1,997125714;1,994837143;-0,003797143;21;0;0;0;1447;0;0;0;0;499,94375;22,74;-3133,7595;-26,2;-26,1913125;-1;-1;0,04;20,76428571;;2,583437985;10,73150042
14.02.2022 15:25;14.02.2022 16:25;3465;0,9625;Preparation;3465;0;2,00066;1,995708571;-0,003714286;21;0;0;0;1447;0;0;0;0;500,1757576;22,7075;-3133,761273;-26,2;-26,19184375;-1;-1;0,04;20,765;;2,588187874;10,75698417
14.02.2022 15:26;14.02.2022 16:26;3555;0,9875;Preparation;3555;0;1,999962857;1,996254286;-0,003955882;21;0;0;0;1447;0;0;0;0;500;22,67333333;-3133,818;-26,2;-26,19275;-1;-1;0,04;20,76666667;;2,593075491;10,78321954
14.02.2022 15:28;14.02.2022 16:28;3645;1,0125;Preparation;3645;0;1,998855882;1,9966;-0,003445714;21;0;0;0;1447;0;0;0;0;500,021875;22,635;-3133,763857;-26,2;-26,19025714;-1;-1;0,03;20,76;;2,597972939;10,80952061
14.02.2022 15:29;14.02.2022 16:29;3735;1,0375;Preparation;3735;0;1,999541667;1,997202778;-0,003947222;21;0;0;0;1447;0;0;0;0;499,9909091;22,598;-3133,763813;-26,2;-26,1925625;-1;-1;0,04;20,76;;2,602886016;10,83591861
14.02.2022 15:31;14.02.2022 16:31;3825;1,0625;Preparation;3825;0;1,999242857;1,997058824;-0,00096;21;0;0;0;1447;0;0;0;0;500,0176471;22,565;-3133,743348;-26,2;-26,19258621;-1;-1;0,04;20,765;;2,607664801;10,86160748
14.02.2022 15:32;14.02.2022 16:32;3915;1,0875;Preparation;3915;0;1,999911429;1,998108824;-0,000352941;21;0;0;0;1447;0;0;0;0;500,0166667;22,528;-3133,771522;-26,2;-26,19167742;-1;-1;0,036666667;20,81;;2,612461169;10,88740333
14.02.2022 15:34;14.02.2022 16:34;4005;1,1125;Preparation;4005;0;1,999405882;1,999073529;5,71E-06;21;0;0;0;1447;0;0;0;0;499,9205882;22,4975;-3133,798385;-26,2;-26,19169697;-1;-1;0,04;20,87;;2,617405704;10,91400891
14.02.2022 15:35;14.02.2022 16:35;4095;1,1375;Preparation;4095;0;1,99992;1,999637143;-0,000328571;21;0;0;0;1447;0;0;0;0;500,0971429;22,455;-3133,793667;-26,2;-26,19170588;-1;-1;0,04;20,89666667;;2,622358332;10,94067118
